state,county,candidate,party,total_votes
Georgia,Carroll County,Matt Lieberman,DEM,1022
Georgia,Carroll County,Tamara Johnson-Shealey,DEM,752
Georgia,Carroll County,Jamesia James,DEM,660
Georgia,Carroll County,Derrick Grayson,REP,649
Georgia,Carroll County,Kandiss Taylor,REP,567
Georgia,Carroll County,Annette Jackson,REP,555
Georgia,Carroll County,Wayne Johnson,REP,482
Georgia,Carroll County,Brian Slowinski,LIB,440
Georgia,Carroll County,Joy Slade,DEM,319
Georgia,Carroll County,Richard Winfield,DEM,220
Georgia,Carroll County,Allen Buckley,IND,182
Georgia,Carroll County,Michael Greene,IND,164
Georgia,Carroll County,John Fortuin,GRN,152
Georgia,Carroll County,Al Bartell,IND,134
Georgia,Carroll County,Valencia Stovall,IND,116
Georgia,Carroll County,Ed Tarver,DEM,96
Georgia,Catoosa County,Doug Collins,REP,8238
Georgia,Catoosa County,Raphael Warnock,DEM,2415
Georgia,Catoosa County,Deborah Jackson,DEM,1408
Georgia,Catoosa County,Matt Lieberman,DEM,1138
Georgia,Catoosa County,Derrick Grayson,REP,831
Georgia,Catoosa County,Annette Jackson,REP,735
Georgia,Catoosa County,Kandiss Taylor,REP,599
Georgia,Catoosa County,Wayne Johnson,REP,570
Georgia,Catoosa County,Tamara Johnson-Shealey,DEM,354
Georgia,Catoosa County,Brian Slowinski,LIB,354
Georgia,Catoosa County,Jamesia James,DEM,336
Georgia,Catoosa County,Michael Greene,IND,213
Georgia,Catoosa County,Joy Slade,DEM,210
Georgia,Catoosa County,Ed Tarver,DEM,170
Georgia,Catoosa County,Richard Winfield,DEM,135
Georgia,Catoosa County,Allen Buckley,IND,123
Georgia,Catoosa County,John Fortuin,GRN,118
Georgia,Catoosa County,Al Bartell,IND,104
Georgia,Catoosa County,Valencia Stovall,IND,86
Georgia,Catoosa County, Write-ins,WRI,21
Georgia,Charlton County,Kelly Loeffler,REP,1095
Georgia,Charlton County,Deborah Jackson,DEM,344
Georgia,Charlton County,Raphael Warnock,DEM,334
Georgia,Charlton County,Derrick Grayson,REP,181
Georgia,Charlton County,Wayne Johnson,REP,134
Georgia,Charlton County,Kandiss Taylor,REP,100
Georgia,Charlton County,Matt Lieberman,DEM,99
Georgia,Charlton County,Annette Jackson,REP,89
Georgia,Charlton County,Tamara Johnson-Shealey,DEM,78
Georgia,Charlton County,Jamesia James,DEM,65
Georgia,Charlton County,Brian Slowinski,LIB,34
Georgia,Charlton County,Joy Slade,DEM,33
Georgia,Charlton County,Allen Buckley,IND,26
Georgia,Charlton County,Richard Winfield,DEM,21
Georgia,Charlton County,Michael Greene,IND,21
Georgia,Charlton County,Al Bartell,IND,19
Georgia,Charlton County,Ed Tarver,DEM,12
Georgia,Charlton County,John Fortuin,GRN,9
Georgia,Charlton County,Valencia Stovall,IND,8
Georgia,Chatham County,Kelly Loeffler,REP,30435
Georgia,Chatham County,Doug Collins,REP,18455
Georgia,Chatham County,Deborah Jackson,DEM,9097
Georgia,Chatham County,Matt Lieberman,DEM,3900
Georgia,Chatham County,Tamara Johnson-Shealey,DEM,3283
Georgia,Chatham County,Jamesia James,DEM,2370
Georgia,Chatham County,Joy Slade,DEM,1257
Georgia,Chatham County,Annette Jackson,REP,1111
Georgia,Chatham County,Derrick Grayson,REP,1108
Georgia,Chatham County,Brian Slowinski,LIB,984
Georgia,Chatham County,Kandiss Taylor,REP,842
Georgia,Chatham County,Wayne Johnson,REP,759
Georgia,Chatham County,Richard Winfield,DEM,600
Georgia,Chatham County,Ed Tarver,DEM,524
Georgia,Chatham County,Allen Buckley,IND,499
Georgia,Chatham County,John Fortuin,GRN,482
Georgia,Chatham County,Al Bartell,IND,405
Georgia,Chatham County,Michael Greene,IND,343
Georgia,Chatham County,Valencia Stovall,IND,332
Georgia,Chatham County, Write-ins,WRI,0
Georgia,Chattahoochee County,Kelly Loeffler,REP,388
Georgia,Chattahoochee County,Doug Collins,REP,372
Georgia,Chattahoochee County,Deborah Jackson,DEM,106
Georgia,Chattahoochee County,Matt Lieberman,DEM,37
Georgia,Chattahoochee County,Jamesia James,DEM,36
Georgia,Chattahoochee County,Tamara Johnson-Shealey,DEM,26
Georgia,Chattahoochee County,Derrick Grayson,REP,26
Georgia,Chattahoochee County,Kandiss Taylor,REP,20
Georgia,Chattahoochee County,Brian Slowinski,LIB,20
Georgia,Chattahoochee County,Annette Jackson,REP,19
Georgia,Chattahoochee County,Wayne Johnson,REP,15
Georgia,Chattahoochee County,Joy Slade,DEM,11
Georgia,Chattahoochee County,Al Bartell,IND,11
Georgia,Chattahoochee County,Valencia Stovall,IND,11
Georgia,Chattahoochee County,Ed Tarver,DEM,7
Georgia,Chattahoochee County,Richard Winfield,DEM,7
Georgia,Chattahoochee County,Allen Buckley,IND,7
Georgia,Chattahoochee County,John Fortuin,GRN,3
Georgia,Chattahoochee County,Michael Greene,IND,2
Georgia,Chattooga County,Doug Collins,REP,2883
Georgia,Chattooga County,Raphael Warnock,DEM,1129
Georgia,Chattooga County,Kandiss Taylor,REP,259
Georgia,Chattooga County,Deborah Jackson,DEM,250
Georgia,Chattooga County,Derrick Grayson,REP,231
Georgia,Chattooga County,Matt Lieberman,DEM,227
Georgia,Chattooga County,Wayne Johnson,REP,161
Georgia,Chattooga County,Annette Jackson,REP,140
Georgia,Chattooga County,Jamesia James,DEM,95
Georgia,Chattooga County,Michael Greene,IND,85
Georgia,Chattooga County,Tamara Johnson-Shealey,DEM,73
Georgia,Chattooga County,Brian Slowinski,LIB,70
Georgia,Chattooga County,Joy Slade,DEM,47
Georgia,Chattooga County,Allen Buckley,IND,47
Georgia,Chattooga County,Al Bartell,IND,41
Georgia,Chattooga County,Richard Winfield,DEM,35
Georgia,Chattooga County,John Fortuin,GRN,31
Georgia,Chattooga County,Valencia Stovall,IND,23
Georgia,Chattooga County,Ed Tarver,DEM,18
Georgia,Cherokee County,Doug Collins,REP,34874
Georgia,Cherokee County,Raphael Warnock,DEM,27461
Georgia,Cherokee County,Deborah Jackson,DEM,5065
Georgia,Cherokee County,Matt Lieberman,DEM,3638
Georgia,Cherokee County,Annette Jackson,REP,1732
Georgia,Cherokee County,Brian Slowinski,LIB,1713
Georgia,Cherokee County,Derrick Grayson,REP,1703
Georgia,Cherokee County,Tamara Johnson-Shealey,DEM,1380
Georgia,Cherokee County,Kandiss Taylor,REP,1275
Georgia,Cherokee County,Jamesia James,DEM,1138
Georgia,Cherokee County,Wayne Johnson,REP,1125
Georgia,Cherokee County,Joy Slade,DEM,779
Georgia,Cherokee County,Allen Buckley,IND,587
Georgia,Cherokee County,John Fortuin,GRN,481
Georgia,Cherokee County,Richard Winfield,DEM,472
Georgia,Cherokee County,Al Bartell,IND,398
Georgia,Cherokee County,Michael Greene,IND,375
Georgia,Cherokee County,Valencia Stovall,IND,339
Georgia,Cherokee County,Ed Tarver,DEM,333
Georgia,Clarke County,Kelly Loeffler,REP,8050
Georgia,Clarke County,Doug Collins,REP,5807
Georgia,Clarke County,Deborah Jackson,DEM,4254
Georgia,Clarke County,Matt Lieberman,DEM,1603
Georgia,Clarke County,Tamara Johnson-Shealey,DEM,1394
Georgia,Clarke County,Jamesia James,DEM,1018
Georgia,Clarke County,Richard Winfield,DEM,949
Georgia,Clarke County,Joy Slade,DEM,479
Georgia,Clarke County,Brian Slowinski,LIB,446
Georgia,Clarke County,Derrick Grayson,REP,309
Georgia,Clarke County,John Fortuin,GRN,300
Georgia,Clarke County,Annette Jackson,REP,284
Georgia,Clarke County,Ed Tarver,DEM,235
Georgia,Clarke County,Kandiss Taylor,REP,206
Georgia,Clarke County,Wayne Johnson,REP,186
Georgia,Clarke County,Allen Buckley,IND,169
Georgia,Clarke County,Valencia Stovall,IND,146
Georgia,Clarke County,Al Bartell,IND,131
Georgia,Clarke County,Michael Greene,IND,112
Georgia,Clay County,Kelly Loeffler,REP,305
Georgia,Clay County,Doug Collins,REP,259
Georgia,Clay County,Deborah Jackson,DEM,142
Georgia,Clay County,Tamara Johnson-Shealey,DEM,33
Georgia,Clay County,Jamesia James,DEM,31
Georgia,Clay County,Matt Lieberman,DEM,29
Georgia,Clay County,Joy Slade,DEM,22
Georgia,Clay County,Derrick Grayson,REP,18
Georgia,Clay County,Annette Jackson,REP,16
Georgia,Clay County,Wayne Johnson,REP,16
Georgia,Clay County,Kandiss Taylor,REP,13
Georgia,Clay County,Richard Winfield,DEM,11
Georgia,Clay County,Michael Greene,IND,10
Georgia,Clay County,Ed Tarver,DEM,8
Georgia,Clay County,Allen Buckley,IND,6
Georgia,Clay County,Brian Slowinski,LIB,6
Georgia,Clay County,John Fortuin,GRN,5
Georgia,Clay County,Al Bartell,IND,3
Georgia,Clay County,Valencia Stovall,IND,2
Georgia,Clayton County,Deborah Jackson,DEM,13738
Georgia,Clayton County,Kelly Loeffler,REP,7087
Georgia,Clayton County,Doug Collins,REP,5361
Georgia,Clayton County,Jamesia James,DEM,4397
Georgia,Clayton County,Tamara Johnson-Shealey,DEM,4295
Georgia,Clayton County,Matt Lieberman,DEM,2846
Georgia,Clayton County,Joy Slade,DEM,1935
Georgia,Clayton County,Valencia Stovall,IND,1125
Georgia,Clayton County,Richard Winfield,DEM,1109
Georgia,Clayton County,Derrick Grayson,REP,557
Georgia,Clayton County,Annette Jackson,REP,548
Georgia,Clayton County,Ed Tarver,DEM,438
Georgia,Clayton County,Wayne Johnson,REP,351
Georgia,Clayton County,Al Bartell,IND,332
Georgia,Clayton County,Brian Slowinski,LIB,327
Georgia,Clayton County,Kandiss Taylor,REP,320
Georgia,Clayton County,Allen Buckley,IND,316
Georgia,Clayton County,John Fortuin,GRN,257
Georgia,Clayton County,Michael Greene,IND,242
Georgia,Clinch County,Doug Collins,REP,742
Georgia,Clinch County,Raphael Warnock,DEM,239
Georgia,Clinch County,Deborah Jackson,DEM,218
Georgia,Clinch County,Derrick Grayson,REP,72
Georgia,Clinch County,Tamara Johnson-Shealey,DEM,69
Georgia,Clinch County,Wayne Johnson,REP,43
Georgia,Clinch County,Matt Lieberman,DEM,40
Georgia,Clinch County,Kandiss Taylor,REP,38
Georgia,Clinch County,Annette Jackson,REP,37
Georgia,Clinch County,Jamesia James,DEM,36
Georgia,Clinch County,Richard Winfield,DEM,18
Georgia,Clinch County,Joy Slade,DEM,17
Georgia,Clinch County,Allen Buckley,IND,14
Georgia,Clinch County,Ed Tarver,DEM,12
Georgia,Clinch County,Al Bartell,IND,11
Georgia,Clinch County,Brian Slowinski,LIB,11
Georgia,Clinch County,Michael Greene,IND,6
Georgia,Clinch County,Valencia Stovall,IND,6
Georgia,Clinch County,John Fortuin,GRN,5
Georgia,Cobb County,Kelly Loeffler,REP,98534
Georgia,Cobb County,Doug Collins,REP,57863
Georgia,Cobb County,Deborah Jackson,DEM,27799
Georgia,Cobb County,Matt Lieberman,DEM,12917
Georgia,Cobb County,Tamara Johnson-Shealey,DEM,8518
Georgia,Cobb County,Jamesia James,DEM,8510
Georgia,Cobb County,Joy Slade,DEM,4179
Georgia,Cobb County,Brian Slowinski,LIB,3692
Georgia,Cobb County,Annette Jackson,REP,3336
Georgia,Cobb County,Derrick Grayson,REP,2922
Georgia,Cobb County,Kandiss Taylor,REP,2266
Georgia,Cobb County,Richard Winfield,DEM,2215
Georgia,Cobb County,Wayne Johnson,REP,1894
Georgia,Cobb County,Ed Tarver,DEM,1626
Georgia,Cobb County,John Fortuin,GRN,1579
Georgia,Cobb County,Allen Buckley,IND,1569
Georgia,Cobb County,Valencia Stovall,IND,1205
Georgia,Cobb County,Al Bartell,IND,1193
Georgia,Cobb County,Michael Greene,IND,1065
Georgia,Coffee County,Kelly Loeffler,REP,4324
Georgia,Coffee County,Raphael Warnock,DEM,2455
Georgia,Coffee County,Deborah Jackson,DEM,821
Georgia,Coffee County,Kandiss Taylor,REP,427
Georgia,Coffee County,Matt Lieberman,DEM,307
Georgia,Coffee County,Tamara Johnson-Shealey,DEM,300
Georgia,Coffee County,Derrick Grayson,REP,239
Georgia,Coffee County,Jamesia James,DEM,234
Georgia,Coffee County,Wayne Johnson,REP,180
Georgia,Coffee County,Annette Jackson,REP,125
Georgia,Coffee County,Joy Slade,DEM,87
Georgia,Coffee County,Richard Winfield,DEM,63
Georgia,Coffee County,Allen Buckley,IND,62
Georgia,Coffee County,Brian Slowinski,LIB,51
Georgia,Coffee County,Ed Tarver,DEM,50
Georgia,Coffee County,Al Bartell,IND,47
Georgia,Coffee County,Michael Greene,IND,42
Georgia,Coffee County,John Fortuin,GRN,29
Georgia,Coffee County,Valencia Stovall,IND,26
Georgia,Colquitt County,Doug Collins,REP,4336
Georgia,Colquitt County,Raphael Warnock,DEM,2531
Georgia,Colquitt County,Deborah Jackson,DEM,655
Georgia,Colquitt County,Matt Lieberman,DEM,260
Georgia,Colquitt County,Tamara Johnson-Shealey,DEM,228
Georgia,Colquitt County,Derrick Grayson,REP,215
Georgia,Colquitt County,Jamesia James,DEM,162
Georgia,Colquitt County,Kandiss Taylor,REP,156
Georgia,Colquitt County,Wayne Johnson,REP,137
Georgia,Colquitt County,Annette Jackson,REP,134
Georgia,Colquitt County,Brian Slowinski,LIB,75
Georgia,Colquitt County,Joy Slade,DEM,62
Georgia,Colquitt County,Richard Winfield,DEM,62
Georgia,Colquitt County,Al Bartell,IND,44
Georgia,Colquitt County,Allen Buckley,IND,42
Georgia,Colquitt County,Ed Tarver,DEM,38
Georgia,Colquitt County,Michael Greene,IND,36
Georgia,Colquitt County,John Fortuin,GRN,30
Georgia,Colquitt County,Valencia Stovall,IND,17
Georgia,Columbia County,Doug Collins,REP,18299
Georgia,Columbia County,Raphael Warnock,DEM,16245
Georgia,Columbia County,Deborah Jackson,DEM,4100
Georgia,Columbia County,Matt Lieberman,DEM,2054
Georgia,Columbia County,Ed Tarver,DEM,1545
Georgia,Columbia County,Tamara Johnson-Shealey,DEM,1238
Georgia,Columbia County,Jamesia James,DEM,1213
Georgia,Columbia County,Derrick Grayson,REP,909
Georgia,Columbia County,Annette Jackson,REP,866
Georgia,Columbia County,Brian Slowinski,LIB,748
Georgia,Columbia County,Kandiss Taylor,REP,685
Georgia,Columbia County,Wayne Johnson,REP,673
Georgia,Columbia County,Joy Slade,DEM,564
Georgia,Columbia County,Richard Winfield,DEM,386
Georgia,Columbia County,Allen Buckley,IND,303
Georgia,Columbia County,Al Bartell,IND,274
Georgia,Columbia County,John Fortuin,GRN,256
Georgia,Columbia County,Michael Greene,IND,235
Georgia,Columbia County,Valencia Stovall,IND,206
Georgia,Cook County,Doug Collins,REP,1762
Georgia,Cook County,Raphael Warnock,DEM,1085
Georgia,Cook County,Deborah Jackson,DEM,400
Georgia,Cook County,Matt Lieberman,DEM,145
Georgia,Cook County,Kandiss Taylor,REP,125
Georgia,Cook County,Jamesia James,DEM,106
Georgia,Cook County,Tamara Johnson-Shealey,DEM,106
Georgia,Cook County,Derrick Grayson,REP,103
Georgia,Cook County,Annette Jackson,REP,68
Georgia,Cook County,Wayne Johnson,REP,60
Georgia,Cook County,Joy Slade,DEM,50
Georgia,Cook County,Ed Tarver,DEM,45
Georgia,Cook County,Brian Slowinski,LIB,39
Georgia,Cook County,Allen Buckley,IND,32
Georgia,Cook County,Richard Winfield,DEM,23
Georgia,Cook County,Al Bartell,IND,19
Georgia,Cook County,Michael Greene,IND,18
Georgia,Cook County,John Fortuin,GRN,13
Georgia,Cook County,Valencia Stovall,IND,12
Georgia,Coweta County,Doug Collins,REP,18824
Georgia,Coweta County,Raphael Warnock,DEM,16593
Georgia,Coweta County,Deborah Jackson,DEM,2732
Georgia,Coweta County,Matt Lieberman,DEM,1526
Georgia,Coweta County,Derrick Grayson,REP,941
Georgia,Coweta County,Tamara Johnson-Shealey,DEM,873
Georgia,Coweta County,Annette Jackson,REP,795
Georgia,Coweta County,Jamesia James,DEM,737
Georgia,Coweta County,Brian Slowinski,LIB,686
Georgia,Coweta County,Kandiss Taylor,REP,636
Georgia,Coweta County,Wayne Johnson,REP,589
Georgia,Coweta County,Joy Slade,DEM,411
Georgia,Coweta County,Richard Winfield,DEM,286
Georgia,Coweta County,Allen Buckley,IND,232
Georgia,Coweta County,John Fortuin,GRN,213
Georgia,Coweta County,Al Bartell,IND,197
Georgia,Coweta County,Valencia Stovall,IND,153
Georgia,Coweta County,Ed Tarver,DEM,146
Georgia,Coweta County,Michael Greene,IND,145
Georgia,Crawford County,Doug Collins,REP,1771
Georgia,Crawford County,Raphael Warnock,DEM,1172
Georgia,Crawford County,Deborah Jackson,DEM,179
Georgia,Crawford County,Matt Lieberman,DEM,87
Georgia,Crawford County,Derrick Grayson,REP,77
Georgia,Crawford County,Wayne Johnson,REP,64
Georgia,Crawford County,Jamesia James,DEM,55
Georgia,Crawford County,Kandiss Taylor,REP,55
Georgia,Crawford County,Tamara Johnson-Shealey,DEM,53
Georgia,Crawford County,Allen Buckley,IND,36
Georgia,Crawford County,Richard Winfield,DEM,30
Georgia,Crawford County,Annette Jackson,REP,30
Georgia,Crawford County,Brian Slowinski,LIB,29
Georgia,Crawford County,Joy Slade,DEM,28
Georgia,Crawford County,Al Bartell,IND,17
Georgia,Crawford County,Ed Tarver,DEM,10
Georgia,Crawford County,Michael Greene,IND,10
Georgia,Crawford County,John Fortuin,GRN,9
Georgia,Crawford County,Valencia Stovall,IND,5
Georgia,Crisp County,Doug Collins,REP,2316
Georgia,Crisp County,Raphael Warnock,DEM,1738
Georgia,Crisp County,Deborah Jackson,DEM,569
Georgia,Crisp County,Tamara Johnson-Shealey,DEM,149
Georgia,Crisp County,Matt Lieberman,DEM,132
Georgia,Crisp County,Jamesia James,DEM,118
Georgia,Crisp County,Derrick Grayson,REP,89
Georgia,Crisp County,Kandiss Taylor,REP,88
Georgia,Crisp County,Joy Slade,DEM,73
Georgia,Crisp County,Annette Jackson,REP,56
Georgia,Crisp County,Richard Winfield,DEM,48
Georgia,Crisp County,Wayne Johnson,REP,45
Georgia,Crisp County,Al Bartell,IND,34
Georgia,Crisp County,Brian Slowinski,LIB,27
Georgia,Crisp County,Ed Tarver,DEM,22
Georgia,Crisp County,Allen Buckley,IND,17
Georgia,Crisp County,Michael Greene,IND,13
Georgia,Crisp County,John Fortuin,GRN,11
Georgia,Crisp County,Valencia Stovall,IND,10
Georgia,Dade County,Doug Collins,REP,2063
Georgia,Dade County,Raphael Warnock,DEM,461
Georgia,Dade County,Deborah Jackson,DEM,238
Georgia,Dade County,Matt Lieberman,DEM,218
Georgia,Dade County,Derrick Grayson,REP,204
Georgia,Dade County,Annette Jackson,REP,158
Georgia,Dade County,Kandiss Taylor,REP,134
Georgia,Dade County,Wayne Johnson,REP,126
Georgia,Dade County,Tamara Johnson-Shealey,DEM,77
Georgia,Dade County,Brian Slowinski,LIB,72
Georgia,Dade County,Michael Greene,IND,54
Georgia,Dade County,Jamesia James,DEM,48
Georgia,Dade County,Allen Buckley,IND,42
Georgia,Dade County,Joy Slade,DEM,41
Georgia,Dade County,Al Bartell,IND,32
Georgia,Dade County,Richard Winfield,DEM,29
Georgia,Dade County,John Fortuin,GRN,29
Georgia,Dade County,Ed Tarver,DEM,25
Georgia,Dade County,Valencia Stovall,IND,18
Georgia,Dawson County,Kelly Loeffler,REP,5260
Georgia,Dawson County,Raphael Warnock,DEM,1506
Georgia,Dawson County,Matt Lieberman,DEM,266
Georgia,Dawson County,Deborah Jackson,DEM,260
Georgia,Dawson County,Derrick Grayson,REP,191
Georgia,Dawson County,Wayne Johnson,REP,168
Georgia,Dawson County,Annette Jackson,REP,163
Georgia,Dawson County,Kandiss Taylor,REP,154
Georgia,Dawson County,Brian Slowinski,LIB,126
Georgia,Dawson County,Jamesia James,DEM,80
Georgia,Dawson County,Tamara Johnson-Shealey,DEM,78
Georgia,Dawson County,Joy Slade,DEM,50
Georgia,Dawson County,Allen Buckley,IND,38
Georgia,Dawson County,Michael Greene,IND,33
Georgia,Dawson County,Valencia Stovall,IND,31
Georgia,Dawson County,Al Bartell,IND,30
Georgia,Dawson County,Ed Tarver,DEM,27
Georgia,Dawson County,Richard Winfield,DEM,27
Georgia,Dawson County,John Fortuin,GRN,20
Georgia,Decatur County,Kelly Loeffler,REP,2980
Georgia,Decatur County,Raphael Warnock,DEM,1738
Georgia,Decatur County,Deborah Jackson,DEM,1429
Georgia,Decatur County,Matt Lieberman,DEM,391
Georgia,Decatur County,Tamara Johnson-Shealey,DEM,357
Georgia,Decatur County,Jamesia James,DEM,297
Georgia,Decatur County,Derrick Grayson,REP,206
Georgia,Decatur County,Kandiss Taylor,REP,143
Georgia,Decatur County,Annette Jackson,REP,126
Georgia,Decatur County,Joy Slade,DEM,124
Georgia,Decatur County,Wayne Johnson,REP,116
Georgia,Decatur County,Ed Tarver,DEM,79
Georgia,Decatur County,Richard Winfield,DEM,74
Georgia,Decatur County,Allen Buckley,IND,63
Georgia,Decatur County,Al Bartell,IND,56
Georgia,Decatur County,Brian Slowinski,LIB,54
Georgia,Decatur County,Michael Greene,IND,47
Georgia,Decatur County,John Fortuin,GRN,25
Georgia,Decatur County,Valencia Stovall,IND,23
Georgia,DeKalb County,Kelly Loeffler,REP,34426
Georgia,DeKalb County,Deborah Jackson,DEM,32941
Georgia,DeKalb County,Doug Collins,REP,20248
Georgia,DeKalb County,Matt Lieberman,DEM,12148
Georgia,DeKalb County,Tamara Johnson-Shealey,DEM,10349
Georgia,DeKalb County,Jamesia James,DEM,9516
Georgia,DeKalb County,Joy Slade,DEM,4461
Georgia,DeKalb County,Richard Winfield,DEM,2641
Georgia,DeKalb County,Brian Slowinski,LIB,2090
Georgia,DeKalb County,Annette Jackson,REP,1638
Georgia,DeKalb County,Ed Tarver,DEM,1597
Georgia,DeKalb County,Derrick Grayson,REP,1361
Georgia,DeKalb County,John Fortuin,GRN,1283
Georgia,DeKalb County,Allen Buckley,IND,1163
Georgia,DeKalb County,Valencia Stovall,IND,1089
Georgia,DeKalb County,Al Bartell,IND,992
Georgia,DeKalb County,Wayne Johnson,REP,985
Georgia,DeKalb County,Kandiss Taylor,REP,917
Georgia,DeKalb County,Michael Greene,IND,790
Georgia,Dodge County,Doug Collins,REP,2467
Georgia,Dodge County,Raphael Warnock,DEM,1421
Georgia,Dodge County,Deborah Jackson,DEM,319
Georgia,Dodge County,Derrick Grayson,REP,103
Georgia,Dodge County,Tamara Johnson-Shealey,DEM,88
Georgia,Dodge County,Kandiss Taylor,REP,85
Georgia,Dodge County,Wayne Johnson,REP,80
Georgia,Dodge County,Matt Lieberman,DEM,75
Georgia,Dodge County,Annette Jackson,REP,74
Georgia,Dodge County,Jamesia James,DEM,65
Georgia,Dodge County,Joy Slade,DEM,43
Georgia,Dodge County,Al Bartell,IND,33
Georgia,Dodge County,Brian Slowinski,LIB,31
Georgia,Dodge County,Richard Winfield,DEM,29
Georgia,Dodge County,John Fortuin,GRN,20
Georgia,Dodge County,Michael Greene,IND,20
Georgia,Dodge County,Allen Buckley,IND,17
Georgia,Dodge County,Ed Tarver,DEM,15
Georgia,Dodge County,Valencia Stovall,IND,8
Georgia,Dooly County,Kelly Loeffler,REP,1041
Georgia,Dooly County,Doug Collins,REP,968
Georgia,Dooly County,Deborah Jackson,DEM,325
Georgia,Dooly County,Jamesia James,DEM,79
Georgia,Dooly County,Matt Lieberman,DEM,77
Georgia,Dooly County,Tamara Johnson-Shealey,DEM,75
Georgia,Dooly County,Richard Winfield,DEM,48
Georgia,Dooly County,Wayne Johnson,REP,32
Georgia,Dooly County,Derrick Grayson,REP,29
Georgia,Dooly County,Joy Slade,DEM,28
Georgia,Dooly County,Annette Jackson,REP,27
Georgia,Dooly County,Kandiss Taylor,REP,25
Georgia,Dooly County,Brian Slowinski,LIB,17
Georgia,Dooly County,Ed Tarver,DEM,14
Georgia,Dooly County,Allen Buckley,IND,11
Georgia,Dooly County,Al Bartell,IND,9
Georgia,Dooly County,Michael Greene,IND,5
Georgia,Dooly County,Valencia Stovall,IND,4
Georgia,Dooly County,John Fortuin,GRN,3
Georgia,Dougherty County,Kelly Loeffler,REP,5620
Georgia,Dougherty County,Doug Collins,REP,4129
Georgia,Dougherty County,Deborah Jackson,DEM,3021
Georgia,Dougherty County,Tamara Johnson-Shealey,DEM,1186
Georgia,Dougherty County,Matt Lieberman,DEM,853
Georgia,Dougherty County,Jamesia James,DEM,830
Georgia,Dougherty County,Richard Winfield,DEM,356
Georgia,Dougherty County,Joy Slade,DEM,344
Georgia,Dougherty County,Annette Jackson,REP,196
Georgia,Dougherty County,Derrick Grayson,REP,186
Georgia,Dougherty County,Ed Tarver,DEM,161
Georgia,Dougherty County,Kandiss Taylor,REP,133
Georgia,Dougherty County,Wayne Johnson,REP,129
Georgia,Dougherty County,Brian Slowinski,LIB,109
Georgia,Dougherty County,Al Bartell,IND,101
Georgia,Dougherty County,Allen Buckley,IND,94
Georgia,Dougherty County,Michael Greene,IND,84
Georgia,Dougherty County,John Fortuin,GRN,73
Georgia,Dougherty County,Valencia Stovall,IND,57
Georgia,Dougherty County, Write-ins,WRI,0
Georgia,Douglas County,Kelly Loeffler,REP,14011
Georgia,Douglas County,Doug Collins,REP,9146
Georgia,Douglas County,Deborah Jackson,DEM,5804
Georgia,Douglas County,Jamesia James,DEM,2143
Georgia,Douglas County,Tamara Johnson-Shealey,DEM,1946
Georgia,Douglas County,Matt Lieberman,DEM,1626
Georgia,Douglas County,Joy Slade,DEM,710
Georgia,Douglas County,Derrick Grayson,REP,530
Georgia,Douglas County,Richard Winfield,DEM,466
Georgia,Douglas County,Annette Jackson,REP,448
Georgia,Douglas County,Brian Slowinski,LIB,375
Georgia,Douglas County,Kandiss Taylor,REP,325
Georgia,Douglas County,Wayne Johnson,REP,300
Georgia,Douglas County,Ed Tarver,DEM,223
Georgia,Douglas County,Al Bartell,IND,207
Georgia,Douglas County,Allen Buckley,IND,200
Georgia,Douglas County,Valencia Stovall,IND,193
Georgia,Douglas County,John Fortuin,GRN,175
Georgia,Douglas County,Michael Greene,IND,159
Georgia,Early County,Kelly Loeffler,REP,1133
Georgia,Early County,Raphael Warnock,DEM,1005
Georgia,Early County,Deborah Jackson,DEM,603
Georgia,Early County,Matt Lieberman,DEM,155
Georgia,Early County,Tamara Johnson-Shealey,DEM,135
Georgia,Early County,Jamesia James,DEM,126
Georgia,Early County,Joy Slade,DEM,83
Georgia,Early County,Kandiss Taylor,REP,55
Georgia,Early County,Annette Jackson,REP,51
Georgia,Early County,Derrick Grayson,REP,50
Georgia,Early County,Wayne Johnson,REP,46
Georgia,Early County,Richard Winfield,DEM,38
Georgia,Early County,Michael Greene,IND,37
Georgia,Early County,Al Bartell,IND,33
Georgia,Early County,Brian Slowinski,LIB,23
Georgia,Early County,Allen Buckley,IND,22
Georgia,Early County,Valencia Stovall,IND,22
Georgia,Early County,Ed Tarver,DEM,19
Georgia,Early County,John Fortuin,GRN,19
Georgia,Echols County,Doug Collins,REP,508
Georgia,Echols County,Derrick Grayson,REP,49
Georgia,Echols County,Deborah Jackson,DEM,43
Georgia,Echols County,Raphael Warnock,DEM,36
Georgia,Echols County,Wayne Johnson,REP,33
Georgia,Echols County,Matt Lieberman,DEM,25
Georgia,Echols County,Kandiss Taylor,REP,24
Georgia,Echols County,Tamara Johnson-Shealey,DEM,21
Georgia,Echols County,Annette Jackson,REP,18
Georgia,Echols County,Al Bartell,IND,13
Georgia,Echols County,Allen Buckley,IND,11
Georgia,Echols County,Jamesia James,DEM,10
Georgia,Echols County,Joy Slade,DEM,9
Georgia,Echols County,Ed Tarver,DEM,6
Georgia,Echols County,Valencia Stovall,IND,5
Georgia,Echols County,John Fortuin,GRN,4
Georgia,Echols County,Brian Slowinski,LIB,4
Georgia,Echols County,Richard Winfield,DEM,2
Georgia,Echols County,Michael Greene,IND,2
